Tanggal,Curah Hujan,Banjir
2017-01-01,269,34
2017-02-01,404,51
2017-03-01,213,23
2017-04-01,182,21
2017-05-01,105,1
2017-06-01,190,3
2017-07-01,31,2
2017-08-01,15,0
2017-09-01,105,1
2017-10-01,484,17
2017-11-01,381,19
2017-12-01,278,20
2018-01-01,349,9
2018-02-01,536,40
2018-03-01,227,12
2018-04-01,212,5
2018-05-01,18,2
2018-06-01,45,0
2018-07-01,0,0
2018-08-01,0,0
2018-09-01,20,0
2018-10-01,134,0
2018-11-01,271,3
2018-12-01,249,14
2019-01-01,214,31
2019-02-01,224,20
2019-03-01,178,33
2019-04-01,217,25
2019-05-01,115,3
2019-06-01,1,0
2019-07-01,1,0
2019-08-01,2,0
2019-09-01,11,0
2019-10-01,8,0
2019-11-01,71,0
2019-12-01,231,5
2020-01-01,301,51
2020-02-01,393,54
2020-03-01,232,34
2020-04-01,292,18
2020-05-01,270,15
2020-06-01,22,0
2020-07-01,72,0
2020-08-01,56,0
2020-09-01,91,1
2020-10-01,164,9
2020-11-01,240,19
2020-12-01,380,41
